tenure,Contract,InternetService,MonthlyCharges,TechSupport,PaymentMethod,Churn_Probability,Churn
3,Month-to-month,Fiber optic,94.6,No,Electronic check,0.8511475546159178,1
12,Month-to-month,Fiber optic,98.1,No,Electronic check,0.8507535246617997,1
1,Month-to-month,Fiber optic,78.45,No,Electronic check,0.8503487726649505,1
1,Month-to-month,Fiber optic,88.35,No,Electronic check,0.8502155566419414,1
1,Month-to-month,Fiber optic,89.1,No,Electronic check,0.8502155566419414,1
1,Month-to-month,Fiber optic,85.55,No,Credit card (automatic),0.8493343826191844,1
7,Month-to-month,Fiber optic,98.05,No,Bank transfer (automatic),0.8491739514150854,1
2,Month-to-month,Fiber optic,85.55,No,Electronic check,0.8474156914798223,1
1,Month-to-month,Fiber optic,81.05,No,Electronic check,0.8468371400637357,0
1,Month-to-month,Fiber optic,74.45,No,Mailed check,0.8460338514529607,1
5,Month-to-month,Fiber optic,94.85,No,Bank transfer (automatic),0.8454907057932132,1
5,Month-to-month,Fiber optic,85.2,No,Electronic check,0.8452858582760873,1
1,Month-to-month,Fiber optic,69.75,No,Electronic check,0.8449294825731034,1
1,Month-to-month,Fiber optic,69.65,No,Electronic check,0.8449294825731034,1
2,Month-to-month,Fiber optic,85.65,No,Electronic check,0.8445395712309677,1
1,Month-to-month,Fiber optic,74.35,No,Electronic check,0.8430795960010022,1
1,Month-to-month,Fiber optic,74.5,No,Electronic check,0.8430795960010022,1
12,Month-to-month,Fiber optic,96.05,No,Electronic check,0.8429338368021517,1
2,Month-to-month,Fiber optic,96.0,No,Electronic check,0.8425839242999046,1
1,Month-to-month,Fiber optic,73.0,No,Electronic check,0.8415214385358639,1
1,Month-to-month,DSL,39.65,No,Electronic check,0.8409879277635951,1
5,Month-to-month,Fiber optic,89.8,No,Electronic check,0.8399391427477012,1
2,Month-to-month,Fiber optic,104.4,Yes,Electronic check,0.8395788755699044,1
1,Month-to-month,Fiber optic,85.0,No,Electronic check,0.8395027209427592,0
1,Month-to-month,DSL,43.3,No,Electronic check,0.8388350196790487,1
1,Month-to-month,Fiber optic,76.0,No,Electronic check,0.8381868706648938,1
8,Month-to-month,Fiber optic,105.5,No,Electronic check,0.8371939920919184,1
1,Month-to-month,Fiber optic,69.25,No,Electronic check,0.8370752224655482,1
12,Month-to-month,Fiber optic,99.95,Yes,Mailed check,0.8358678487326275,1
1,Month-to-month,Fiber optic,74.9,No,Electronic check,0.835835064218033,1
11,Month-to-month,Fiber optic,102.0,No,Electronic check,0.8353002919908089,1
1,Month-to-month,Fiber optic,72.1,No,Electronic check,0.8351017196877164,0
10,Month-to-month,Fiber optic,95.35,No,Electronic check,0.83447384602147,1
4,Month-to-month,Fiber optic,88.85,No,Electronic check,0.8340919358014541,1
5,Month-to-month,Fiber optic,92.5,No,Electronic check,0.8335628887465113,1
2,Month-to-month,Fiber optic,82.0,No,Electronic check,0.8335002788240384,1
12,Month-to-month,Fiber optic,101.35,No,Electronic check,0.8332321967736976,1
1,Month-to-month,Fiber optic,80.15,No,Credit card (automatic),0.8330924200104737,1
2,Month-to-month,Fiber optic,93.85,No,Electronic check,0.8328990775595174,1
10,Month-to-month,Fiber optic,100.25,No,Electronic check,0.8325932966269295,1
8,Month-to-month,Fiber optic,100.15,Yes,Credit card (automatic),0.8320067486467917,0
4,Month-to-month,Fiber optic,100.85,Yes,Mailed check,0.8313750636478855,0
1,Month-to-month,Fiber optic,82.3,No,Electronic check,0.8302923085012633,1
11,Month-to-month,Fiber optic,94.0,No,Electronic check,0.8301768782650161,1
4,Month-to-month,Fiber optic,84.8,No,Bank transfer (automatic),0.8290755725108879,1
3,Month-to-month,Fiber optic,100.95,No,Electronic check,0.828576154245109,1
7,Month-to-month,Fiber optic,93.85,No,Electronic check,0.8285216074362393,1
5,Month-to-month,Fiber optic,90.8,No,Electronic check,0.8270072471086639,1
4,Month-to-month,Fiber optic,91.65,No,Electronic check,0.8270072471086639,1
7,Month-to-month,Fiber optic,95.35,No,Electronic check,0.8268473995616658,1
1,Month-to-month,Fiber optic,85.8,No,Mailed check,0.8259849305378136,1
2,Month-to-month,Fiber optic,91.45,No,Electronic check,0.8254892076094268,0
11,Month-to-month,Fiber optic,97.85,No,Bank transfer (automatic),0.8251087158291462,1
4,Month-to-month,Fiber optic,90.05,No,Electronic check,0.8248387506198118,1
1,Month-to-month,Fiber optic,69.55,No,Electronic check,0.8245301145084645,1
1,Month-to-month,Fiber optic,69.9,No,Electronic check,0.8245301145084645,1
1,Month-to-month,Fiber optic,69.9,No,Electronic check,0.8245301145084645,1
1,Month-to-month,Fiber optic,70.05,No,Electronic check,0.8245301145084645,1
1,Month-to-month,Fiber optic,69.9,No,Electronic check,0.8245301145084645,0
1,Month-to-month,Fiber optic,70.25,No,Electronic check,0.8245301145084645,0
1,Month-to-month,Fiber optic,69.8,No,Electronic check,0.8245301145084645,1
1,Month-to-month,Fiber optic,69.1,No,Electronic check,0.8245301145084645,1
1,Month-to-month,Fiber optic,68.95,No,Electronic check,0.8245301145084645,1
1,Month-to-month,Fiber optic,69.6,No,Electronic check,0.8245301145084645,1
1,Month-to-month,Fiber optic,69.85,No,Electronic check,0.8245301145084645,1
1,Month-to-month,Fiber optic,70.35,No,Electronic check,0.8245301145084645,0
1,Month-to-month,Fiber optic,70.1,No,Electronic check,0.8245301145084645,1
1,Month-to-month,Fiber optic,69.35,No,Electronic check,0.8245301145084645,1
1,Month-to-month,Fiber optic,70.3,No,Electronic check,0.8245301145084645,1
1,Month-to-month,Fiber optic,70.6,No,Electronic check,0.8245301145084645,1
1,Month-to-month,Fiber optic,70.25,No,Electronic check,0.8245301145084645,1
1,Month-to-month,Fiber optic,70.1,No,Electronic check,0.8245301145084645,1
1,Month-to-month,Fiber optic,69.5,No,Electronic check,0.8245301145084645,1
1,Month-to-month,Fiber optic,69.2,No,Electronic check,0.8245301145084645,1
1,Month-to-month,Fiber optic,69.65,No,Electronic check,0.8245301145084645,1
1,Month-to-month,Fiber optic,70.85,No,Electronic check,0.8245301145084645,1
1,Month-to-month,Fiber optic,69.15,No,Electronic check,0.8245301145084645,1
1,Month-to-month,Fiber optic,69.2,No,Electronic check,0.8245301145084645,1
1,Month-to-month,Fiber optic,70.3,No,Electronic check,0.8245301145084645,1
1,Month-to-month,Fiber optic,69.35,No,Electronic check,0.8245301145084645,1
1,Month-to-month,Fiber optic,69.6,No,Electronic check,0.8245301145084645,1
1,Month-to-month,Fiber optic,76.35,No,Electronic check,0.8239300561036971,1
1,Month-to-month,Fiber optic,76.2,No,Electronic check,0.8239300561036971,1
1,Month-to-month,Fiber optic,74.35,No,Electronic check,0.8222014887899989,1
1,Month-to-month,Fiber optic,74.7,No,Electronic check,0.8222014887899989,1
1,Month-to-month,Fiber optic,78.8,No,Electronic check,0.8218217618011233,1
1,Month-to-month,Fiber optic,78.05,No,Electronic check,0.8218217618011233,1
1,Month-to-month,Fiber optic,79.55,No,Electronic check,0.8218217618011233,1
9,Month-to-month,Fiber optic,94.75,No,Electronic check,0.8215343610577116,1
2,Month-to-month,Fiber optic,95.5,No,Credit card (automatic),0.8205911835117252,0
8,Month-to-month,Fiber optic,87.05,No,Electronic check,0.8200633054541389,1
1,Month-to-month,Fiber optic,79.9,No,Electronic check,0.819207692104718,1
1,Month-to-month,Fiber optic,79.6,No,Electronic check,0.819207692104718,1
2,Month-to-month,Fiber optic,85.7,No,Electronic check,0.8191237390724716,1
9,Month-to-month,Fiber optic,99.45,No,Credit card (automatic),0.8187551886779662,1
1,Month-to-month,Fiber optic,75.3,No,Bank transfer (automatic),0.8185603093018262,1
1,Month-to-month,Fiber optic,70.55,No,Electronic check,0.8184344940137952,1
1,Month-to-month,Fiber optic,70.15,No,Electronic check,0.8184344940137952,1
1,Month-to-month,Fiber optic,70.05,No,Electronic check,0.8184344940137952,0
1,Month-to-month,Fiber optic,71.25,No,Electronic check,0.8184344940137952,0
1,Month-to-month,Fiber optic,71.15,No,Electronic check,0.8184344940137952,1
1,Month-to-month,Fiber optic,71.65,No,Electronic check,0.8184344940137952,1
1,Month-to-month,Fiber optic,70.3,No,Electronic check,0.8184344940137952,1
1,Month-to-month,Fiber optic,70.2,No,Electronic check,0.8184344940137952,0
1,Month-to-month,DSL,40.2,No,Electronic check,0.8184249022741356,1
1,Month-to-month,Fiber optic,89.55,No,Electronic check,0.818335801109666,1
1,Month-to-month,Fiber optic,89.9,No,Electronic check,0.818335801109666,1
1,Month-to-month,Fiber optic,74.3,No,Electronic check,0.8180763285421377,0
1,Month-to-month,Fiber optic,75.05,No,Mailed check,0.8178837962670031,1
1,Month-to-month,Fiber optic,74.25,No,Mailed check,0.8178837962670031,1
1,Month-to-month,Fiber optic,74.6,No,Bank transfer (automatic),0.8178837962670031,1
8,Month-to-month,Fiber optic,84.9,No,Electronic check,0.8166519373486749,1
1,Month-to-month,Fiber optic,95.6,No,Electronic check,0.8165747576401265,1
2,Month-to-month,Fiber optic,95.85,No,Electronic check,0.8160987729268648,1
1,Month-to-month,Fiber optic,80.3,No,Electronic check,0.8155752419644303,1
20,Month-to-month,Fiber optic,98.55,No,Electronic check,0.8149093564971449,1
1,Month-to-month,Fiber optic,80.0,No,Electronic check,0.8133465862978039,1
1,Month-to-month,Fiber optic,78.65,No,Electronic check,0.8133465862978039,1
1,Month-to-month,DSL,25.2,No,Electronic check,0.8127994298070654,1
1,Month-to-month,DSL,24.8,No,Electronic check,0.8127994298070654,1
1,Month-to-month,Fiber optic,71.65,No,Electronic check,0.8126618868088131,1
1,Month-to-month,Fiber optic,68.5,No,Electronic check,0.8126618868088131,1
1,Month-to-month,Fiber optic,70.0,No,Electronic check,0.8126618868088131,1
1,Month-to-month,Fiber optic,69.8,No,Electronic check,0.8126618868088131,1
1,Month-to-month,Fiber optic,71.0,No,Electronic check,0.8126618868088131,1
1,Month-to-month,Fiber optic,69.65,No,Electronic check,0.8126618868088131,1
1,Month-to-month,Fiber optic,95.0,No,Electronic check,0.812433413235356,1
7,Month-to-month,Fiber optic,84.55,No,Electronic check,0.8121200356220497,1
6,Month-to-month,Fiber optic,89.75,No,Electronic check,0.812013323285894,0
1,Month-to-month,Fiber optic,84.5,No,Electronic check,0.8108525632414432,1
10,Month-to-month,Fiber optic,102.1,No,Credit card (automatic),0.8107260763618706,1
9,Month-to-month,Fiber optic,99.3,No,Credit card (automatic),0.8104877154052222,0
1,Month-to-month,Fiber optic,74.7,No,Electronic check,0.8102120133179748,1
1,Month-to-month,Fiber optic,75.35,No,Electronic check,0.8102120133179748,1
13,Month-to-month,Fiber optic,95.25,No,Electronic check,0.8101449461855472,1
1,Month-to-month,Fiber optic,75.8,No,Electronic check,0.8095330914856854,1
6,Month-to-month,Fiber optic,93.55,No,Bank transfer (automatic),0.8088798927064287,1
1,Month-to-month,Fiber optic,89.3,No,Electronic check,0.8086873347651526,1
9,Month-to-month,Fiber optic,95.5,No,Electronic check,0.8084195906157474,1
12,Month-to-month,Fiber optic,100.15,No,Bank transfer (automatic),0.8083338774521005,1
1,Month-to-month,Fiber optic,69.5,No,Bank transfer (automatic),0.8078623534422369,1
3,Month-to-month,Fiber optic,85.3,No,Electronic check,0.8073555031975148,1
12,Month-to-month,Fiber optic,91.3,No,Electronic check,0.8072484617571648,1
9,Month-to-month,Fiber optic,90.1,No,Electronic check,0.8051272737508687,0
13,Month-to-month,Fiber optic,106.9,No,Electronic check,0.8048013922727225,1
4,Month-to-month,Fiber optic,89.2,No,Electronic check,0.8044812079019313,1
3,Month-to-month,DSL,29.6,No,Electronic check,0.8033912397814812,1
4,Month-to-month,Fiber optic,85.65,No,Electronic check,0.8021092133352649,1
5,Month-to-month,Fiber optic,83.15,No,Credit card (automatic),0.8010146041262942,1
5,Month-to-month,Fiber optic,84.0,No,Electronic check,0.8009858591302587,0
2,Month-to-month,Fiber optic,86.85,No,Mailed check,0.8006197544698958,1
3,Month-to-month,Fiber optic,105.35,No,Bank transfer (automatic),0.7997448715050027,1
8,Month-to-month,Fiber optic,94.0,No,Electronic check,0.7991844825264771,1
1,Month-to-month,Fiber optic,74.6,No,Mailed check,0.7971160493363002,1
10,Month-to-month,Fiber optic,94.9,No,Electronic check,0.7968795710779993,1
2,Month-to-month,Fiber optic,79.6,No,Electronic check,0.796434147668969,1
5,Month-to-month,Fiber optic,104.1,No,Mailed check,0.7960205084788117,1
3,Month-to-month,Fiber optic,84.75,No,Bank transfer (automatic),0.7958672420883173,1
7,Month-to-month,Fiber optic,95.6,No,Bank transfer (automatic),0.7955527168224069,1
12,Month-to-month,Fiber optic,94.2,No,Electronic check,0.7952146178665681,1
3,Month-to-month,Fiber optic,74.4,No,Electronic check,0.794215520710353,1
2,Month-to-month,Fiber optic,86.0,No,Electronic check,0.7940691415257303,1
4,Month-to-month,Fiber optic,99.6,No,Electronic check,0.7926260345438657,1
1,Month-to-month,Fiber optic,89.15,No,Mailed check,0.7925389070074669,1
12,Month-to-month,Fiber optic,99.45,No,Electronic check,0.7918996671044859,1
2,Month-to-month,Fiber optic,89.55,No,Bank transfer (automatic),0.7916545891755317,1
1,Month-to-month,DSL,25.1,No,Electronic check,0.7912249896817802,1
1,Month-to-month,Fiber optic,69.1,No,Electronic check,0.7910605025661657,1
4,Month-to-month,Fiber optic,88.95,No,Electronic check,0.7909823121528815,1
1,Month-to-month,Fiber optic,80.5,No,Electronic check,0.7905748836283649,1
16,Month-to-month,Fiber optic,98.75,No,Electronic check,0.7904734575069876,1
2,Month-to-month,Fiber optic,80.2,No,Electronic check,0.7904343659986849,1
14,Month-to-month,Fiber optic,100.55,No,Electronic check,0.7900765564288057,1
11,Month-to-month,Fiber optic,104.05,Yes,Bank transfer (automatic),0.7898624664660852,1
7,Month-to-month,Fiber optic,90.45,No,Electronic check,0.7894300339099587,1
7,Month-to-month,Fiber optic,86.5,No,Electronic check,0.7894300339099587,1
6,Month-to-month,Fiber optic,90.1,No,Electronic check,0.7891680475870528,1
15,Month-to-month,Fiber optic,101.1,No,Electronic check,0.7878007779473011,1
1,Month-to-month,Fiber optic,71.0,No,Electronic check,0.7876888753598388,1
1,Month-to-month,Fiber optic,70.45,No,Mailed check,0.7875260394694162,1
1,Month-to-month,Fiber optic,70.6,No,Mailed check,0.7875260394694162,0
12,Month-to-month,Fiber optic,106.7,No,Electronic check,0.7872048632791558,1
4,Month-to-month,Fiber optic,93.5,Yes,Electronic check,0.7868140166553578,1
10,Month-to-month,Fiber optic,98.7,No,Electronic check,0.7866022901892983,1
1,Month-to-month,Fiber optic,89.25,No,Electronic check,0.7863807137401482,0
3,Month-to-month,Fiber optic,75.85,No,Electronic check,0.7853524743861953,1
3,Month-to-month,Fiber optic,105.9,No,Electronic check,0.7848235021346839,1
4,Month-to-month,Fiber optic,101.15,No,Electronic check,0.7847071375972972,1
8,Month-to-month,Fiber optic,101.35,No,Electronic check,0.7842796584314669,1
4,Month-to-month,Fiber optic,84.6,No,Electronic check,0.7842577422377669,1
5,Month-to-month,Fiber optic,89.5,No,Electronic check,0.784165965843138,1
5,Month-to-month,Fiber optic,91.4,No,Electronic check,0.7839326146093109,1
1,Month-to-month,Fiber optic,71.55,No,Mailed check,0.7838343484500967,1
1,Month-to-month,Fiber optic,70.6,No,Mailed check,0.7838343484500967,0
1,Month-to-month,Fiber optic,70.8,No,Mailed check,0.7838343484500967,1
1,Month-to-month,Fiber optic,69.95,No,Mailed check,0.7838343484500967,1
1,Month-to-month,Fiber optic,69.4,No,Mailed check,0.7838343484500967,1
1,Month-to-month,Fiber optic,70.7,No,Mailed check,0.7838343484500967,0
1,Month-to-month,Fiber optic,70.15,No,Mailed check,0.7838343484500967,1
1,Month-to-month,Fiber optic,71.35,No,Mailed check,0.7838343484500967,1
1,Month-to-month,Fiber optic,70.15,No,Mailed check,0.7838343484500967,1
5,Month-to-month,Fiber optic,96.25,No,Electronic check,0.7835919195068017,1
5,Month-to-month,Fiber optic,85.3,No,Electronic check,0.7826409887146913,1
10,Month-to-month,Fiber optic,89.8,No,Electronic check,0.7823525608313946,1
3,Month-to-month,Fiber optic,98.7,Yes,Electronic check,0.7808705756216205,1
5,Month-to-month,Fiber optic,94.45,No,Electronic check,0.7804065704253547,1
6,Month-to-month,Fiber optic,89.35,No,Electronic check,0.7792259643522321,0
2,Month-to-month,Fiber optic,87.15,No,Bank transfer (automatic),0.7792116697582584,1
1,Month-to-month,Fiber optic,74.3,No,Credit card (automatic),0.7792001279673085,1
3,Month-to-month,Fiber optic,75.1,No,Credit card (automatic),0.7791648052361142,1
1,Month-to-month,DSL,25.25,No,Electronic check,0.7787924264228275,1
4,Month-to-month,Fiber optic,88.45,No,Electronic check,0.7779054310035441,1
21,Month-to-month,Fiber optic,103.9,No,Electronic check,0.7778347044264602,1
4,Month-to-month,Fiber optic,98.1,Yes,Bank transfer (automatic),0.7777554510017265,1
9,Month-to-month,Fiber optic,84.45,No,Electronic check,0.7777282021714151,1
9,Month-to-month,Fiber optic,83.85,No,Electronic check,0.7777282021714151,1
6,Month-to-month,Fiber optic,99.95,Yes,Mailed check,0.7755826135311883,1
5,Month-to-month,Fiber optic,81.3,No,Electronic check,0.7748592033313831,1
6,Month-to-month,Fiber optic,90.75,No,Electronic check,0.7734543105949763,0
5,Month-to-month,Fiber optic,99.15,Yes,Mailed check,0.772855419778214,1
2,Month-to-month,Fiber optic,78.55,No,Electronic check,0.7727989244506257,1
3,Month-to-month,Fiber optic,76.05,No,Electronic check,0.7724004845915992,1
1,Month-to-month,Fiber optic,89.35,No,Electronic check,0.7720816201240597,0
21,Month-to-month,Fiber optic,106.1,Yes,Electronic check,0.771505422016856,1
6,Month-to-month,Fiber optic,95.75,No,Electronic check,0.7713772120155993,1
2,Month-to-month,DSL,49.25,No,Electronic check,0.771263480074125,1
3,Month-to-month,Fiber optic,97.9,Yes,Electronic check,0.770689376806381,1
10,Month-to-month,Fiber optic,94.85,No,Electronic check,0.7701070784226652,1
1,Month-to-month,Fiber optic,69.1,No,Mailed check,0.7699814599246252,1
1,Month-to-month,Fiber optic,70.45,No,Mailed check,0.7699814599246252,1
1,Month-to-month,Fiber optic,69.9,No,Mailed check,0.7699814599246252,1
